Id;Año;Mes_Nombre;Mes Numérico;Migrantes Irregulares;Trujillo;Trojes;Danlí;CAMI Tegucigalpa;CAMI San Pedro Sula;CAMI Gracias a Dios;CAMI Choluteca;CAMI Danlí;Fuente
1;2014;Enero;1;988;48;NA;NA;420;NA;NA;85;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
2;2014;Febrero;2;498;NA;NA;NA;498;NA;NA;NA;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
3;2014;Marzo;3;440;NA;NA;NA;440;NA;NA;NA;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
4;2014;Abril;4;368;NA;NA;NA;321;NA;NA;47;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
5;2014;Mayo;5;452;NA;NA;NA;432;NA;NA;20;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
6;2014;Junio;6;426;NA;NA;NA;425;NA;NA;1;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
7;2014;Julio;7;501;NA;NA;NA;NA;NA;NA;501;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
8;2014;Agosto;8;610;NA;NA;NA;NA;NA;NA;610;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
9;2014;Septiembre;9;314;NA;NA;NA;NA;NA;NA;314;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
10;2014;Octubre;10;525;NA;NA;NA;NA;NA;NA;525;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
11;2014;Noviembre;11;428;NA;NA;NA;NA;NA;NA;428;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
12;2014;Diciembre;12;443;NA;NA;NA;NA;NA;NA;443;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
0;2015;Enero;1;1462;1433;NA;NA;5;NA;NA;24;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
14;2015;Febrero;2;1462;1421;NA;NA;34;NA;NA;7;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
15;2015;Marzo;3;1466;250;NA;NA;39;NA;NA;1427;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
16;2015;Abril;4;1442;NA;NA;NA;43;NA;NA;1399;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
17;2015;Mayo;5;1369;NA;NA;NA;26;NA;NA;1343;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
18;2015;Junio;6;1948;NA;NA;NA;48;NA;NA;1900;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
19;2015;Julio;7;2181;NA;NA;NA;545;NA;NA;1636;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
20;2015;Agosto;8;2289;NA;NA;NA;1789;NA;NA;250;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
21;2015;Septiembre;9;1674;NA;NA;NA;1666;NA;NA;8;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
22;2015;Octubre;10;2515;NA;NA;NA;2335;NA;NA;180;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
23;2015;Noviembre;11;1689;NA;NA;NA;1556;NA;NA;133;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
24;2015;Diciembre;12;1625;NA;NA;NA;1599;NA;NA;26;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
25;2016;Enero;1;2060;NA;NA;NA;583;NA;61;861;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
26;2016;Febrero;2;519;NA;NA;NA;295;NA;NA;224;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
27;2016;Marzo;3;468;NA;NA;NA;246;NA;1;222;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
28;2016;Abril;4;2981;NA;NA;NA;490;NA;NA;2491;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
29;2016;Mayo;5;1254;NA;NA;NA;764;NA;NA;490;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
30;2016;Junio;6;1029;NA;NA;NA;215;NA;NA;814;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
31;2016;Julio;7;1732;NA;NA;NA;658;NA;NA;1074;NA;https://app.powerbi.com/view?r=eyJrIjoiOWI4ZDFmOGItYWQzMy00MWI1LTk3NWUtMmM5MTliZTgzMGM4IiwidCI6ImUxMWQ5NjIwLTRkM2UtNDEwYi05MTUyLWZkMWNmNmNmNzI5YSJ9
